Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
"Gravity (feat. Tyler, The Creator)","Brent Faiyaz, DJ Dahi","['dmv rap', 'pop', 'r&b', 'rap']",76,0.539,0.615,-8.746,0.252,0.173,0.144,163.924,214693,0.493
Vibez,ZAYN,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",69,0.635,0.659,-7.499,0.116,0.242,0.105,96.855,163127,0.34
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,['pop'],76,0.376,0.43,-6.585,0.0328,0.0902,0.0912,77.599,177323,0.129
Daisy,Ashnikko,"['electropop', 'escape room', 'pop']",76,0.834,0.663,-6.143,0.133,0.235,0.372,121.876,146523,0.774
Wasted On You,Morgan Wallen,['contemporary country'],76,0.505,0.657,-5.24,0.0318,0.373,0.126,196,178520,0.252
La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka","['latin', 'reggaeton', 'trap latino']",75,0.815,0.715,-4.65,0.207,0.3,0.091,176.007,345241,0.786
Los Dioses,"Anuel AA, Ozuna","['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",73,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,206587,0.67
Si Me Tomo Una Cerveza,"Migrantes, Alico",['cumbia pop'],74,0.72,0.613,-6.899,0.0572,0.185,0.155,84.974,182199,0.857
Somebody¡¯s Problem,Morgan Wallen,['contemporary country'],70,0.657,0.54,-7.675,0.0287,0.662,0.123,136.97,161773,0.625
De Una Vez,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']",70,0.659,0.479,-6.79,0.2,0.152,0.268,163.882,155956,0.0395
Way Out (feat. Big Sean),Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",72,0.945,0.582,-8.357,0.0719,0.114,0.103,108.025,168906,0.907
Diamonds,Sam Smith,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",77,0.653,0.667,-6.764,0.0423,0.154,0.107,104.181,213869,0.556
Dancing in My Room,347aidan,['sad rap'],79,0.98,0.413,-11.052,0.101,0.671,0.17,119.993,180139,0.764
De Cora <3,"Rauw Alejandro, J Balvin","['puerto rican pop', 'trap latino']",73,0.811,0.683,-2.028,0.241,0.46,0.128,176.037,190101,0.571
champagne problems,Taylor Swift,"['pop', 'post-teen pop']",75,0.462,0.24,-12.077,0.0377,0.92,0.113,171.319,244000,0.32
Go Crazy,"Chris Brown, Young Thug","['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",80,0.755,0.578,-8.932,0.145,0.316,0.25,94.148,176960,0.581
Reminds Me Of You,"Juice WRLD, The Kid LAROI","['chicago rap', 'melodic rap']",75,0.613,0.631,-6.965,0.12,0.0663,0.169,149.992,158033,0.33
